listing_url,listing_no,title,location,prop_type,list_date,price_ksh,price_flag,log_price_ksh,size_acres,size_source,log_size_acres,latitude,longitude,geocode_source,geocode_confidence,county,dist_to_nairobi_km,dist_to_county_town_km,reference_city,reference_city_dist_km,amenities_score,accessibility_score,price_per_acre,log_price_per_acre
https://www.property24.co.ke/vacant-land-plot-for-sale-in-mua-hills-116840384,116840384,Vacant Land / Plot for Sale in Mua Hills,"Mua Hills Machakos County, Mua Hills, Athi River",,23-Jan-26,4700000.0,clean,15.363073066680286,,missing,,-1.43254,37.21725,street_address,0.8,Machakos,46.64,46.64,Machakos,10.77,23.6,44.98,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-malindi-117026969,117026969,Vacant Land / Plot for Sale in Malindi,"Mtangani/sulisuli Road, Malindi, Malindi",,14-Mar-26,10000000.0,clean,16.11809565095832,1.0,nlp_description,0.0,,,failed,0.0,Kilifi,,,,,0.0,,10000000.0,16.11809565095832
https://www.property24.co.ke/vacant-land-plot-for-sale-in-syokimau-116984269,116984269,Vacant Land / Plot for Sale in Syokimau,,,,8000000.0,clean,15.89495209964411,,missing,,,,failed,0.0,Machakos,,,,,0.0,,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-embu-117003886,117003886,Vacant Land / Plot for Sale in Embu,"Gm6w+3rh Embu County, Embu, Embu",,9-Mar-26,2500000.0,clean,14.73180128983843,4.2,nlp_description,1.4350845252893227,-0.5303641,37.4518245,nlp_landmark,0.5,Embu,109.91,109.91,Embu,0.21,77.47,70.8,595238.1,13.296716772549107
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kileleshwa-116983064,116983064,Vacant Land / Plot for Sale in Kileleshwa,"Nairobi, Kileleshwa",,3-Mar-26,150000000.0,clean,18.82614585206053,0.76,nlp_description,-0.2744368457017603,-1.2767338,36.7879011,nlp_landmark,0.5,Nairobi,4.15,4.15,Nairobi,4.15,78.14,67.67,197368421.05,19.10058269774896
https://www.property24.co.ke/vacant-land-plot-for-sale-in-ongata-rongai-116986886,116986886,,,,,,missing,,,missing,,,,failed,0.0,,,,,,0.0,,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-mombasa-cbd-117046200,117046200,Vacant Land / Plot for Sale in Mombasa CBD,"Mombasa, Mombasa CBD",,19-Mar-26,75000000.0,clean,18.132998671500584,0.16,nlp_description,-1.8325814637483102,-4.05052,39.667169,nlp_landmark,0.5,Mombasa,440.38,440.38,Mombasa,0.79,84.53,66.57,468750000.0,19.965580135248896
https://www.property24.co.ke/vacant-land-plot-for-sale-in-watamu-116993270,116993270,Vacant Land / Plot for Sale in Watamu,"P2m2+f7 Malindi, Watamu, Watamu",,5-Mar-26,1200000.0,clean,13.997832114758229,15.0,nlp_description,2.70805020110221,-3.35,40.0166,nlp_landmark,0.5,Kilifi,422.3,422.3,Kilifi,21.47,58.92,23.7,80000.0,11.289781913656018
https://www.property24.co.ke/vacant-land-plot-for-sale-in-ongata-rongai-117028433,117028433,Vacant Land / Plot for Sale in Ongata Rongai,"Kajiado, Ongata Rongai",,15-Mar-26,2800000.0,clean,14.845129975145433,0.229568,nlp_description,-1.4715559970723198,-1.3630118,36.7460826,nlp_landmark,0.5,Nairobi,11.54,11.54,Nairobi,11.54,72.06,43.07,12196821.86,16.316685972487925
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kikuyu-117070485,117070485,,,,,,missing,,,missing,,,,failed,0.0,,,,,,0.0,,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-westlands-116841831,116841831,Vacant Land / Plot for Sale in Westlands,"Raphta Rd Nairobi, Westlands, Nairobi",,24-Jan-26,240000000.0,clean,19.296149481306266,0.4,nlp_description,-0.916290731874155,-1.3026148,36.828842,nlp_landmark,0.5,Nairobi,1.4,1.4,Nairobi,1.4,84.88,87.91,600000000.0,20.21244021318042
https://www.property24.co.ke/vacant-land-plot-for-sale-in-runda-116840752,116840752,Vacant Land / Plot for Sale in Runda,"Runda, Runda, Nairobi",,23-Jan-26,70000000.0,clean,18.064005800013632,,missing,,-1.2115559,36.8110016,street_address,0.8,Nairobi,9.04,9.04,Nairobi,9.04,64.04,60.55,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-narok-116959052,116959052,Vacant Land / Plot for Sale in Narok,"Narok, Narok",,24-Feb-26,1650000.0,clean,14.316285845876763,,missing,,1.4419683,38.4313975,nlp_landmark,0.5,Isiolo,352.77,352.77,Isiolo,153.47,0.0,38.94,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-nanyuki-116982047,116982047,www.property24.co.ke,,,,,missing,,,missing,,,,failed,0.0,,,,,,0.0,,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-westlands-117008452,117008452,Vacant Land / Plot for Sale in Westlands,"Nairobi, Westlands",,10-Mar-26,850000.0,clean,13.652991628466498,2.6,nlp_description,0.9555114450274363,-1.3026148,36.828842,nlp_landmark,0.5,Nairobi,1.4,1.4,Nairobi,1.4,82.52,87.91,326923.08,12.697480192850827
https://www.property24.co.ke/vacant-land-plot-for-sale-in-athi-river-117042693,117042693,Vacant Land / Plot for Sale in Athi River,"Athi River, Athi River",,18-Mar-26,2750000.0,clean,14.827111469642754,8.0,nlp_description,2.0794415416798357,-1.4490116,36.9754995,location_town,0.3,Machakos,24.41,32.9,Nairobi,24.41,67.64,40.32,343750.0,12.747669927962917
https://www.property24.co.ke/vacant-land-plot-for-sale-in-mombasa-rd-116769092,116769092,Vacant Land / Plot for Sale in Mombasa Rd,"Mombasa Road Nairobi, Mombasa Rd, Nairobi",,4-Jan-26,300000000.0,clean,19.519293032620475,3.0,nlp_description,1.0986122886681098,-1.3328923,36.8877386,street_address,0.8,Nairobi,8.61,8.61,Nairobi,8.61,80.77,76.06,100000000.0,18.420680743952367
https://www.property24.co.ke/vacant-land-plot-for-sale-in-athi-river-117042695,117042695,Vacant Land / Plot for Sale in Athi River,"Athi River, Athi River",,18-Mar-26,2750000.0,clean,14.827111469642754,8.0,nlp_description,2.0794415416798357,-1.4490116,36.9754995,location_town,0.3,Machakos,24.41,32.9,Nairobi,24.41,67.64,40.32,343750.0,12.747669927962917
https://www.property24.co.ke/vacant-land-plot-for-sale-in-athi-river-117042698,117042698,Vacant Land / Plot for Sale in Athi River,"Athi River, Athi River",,18-Mar-26,2750000.0,clean,14.827111469642754,8.0,nlp_description,2.0794415416798357,-1.4490116,36.9754995,location_town,0.3,Machakos,24.41,32.9,Nairobi,24.41,67.64,40.32,343750.0,12.747669927962917
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kilimani-117026950,117026950,Vacant Land / Plot for Sale in Kilimani,"Kilimani Nairobi, Kilimani, Nairobi",,14-Mar-26,600000000.0,clean,20.21244021318042,1.2,nlp_description,0.1823215567939546,-1.2989866,36.7652263,street_address,0.8,Nairobi,6.35,6.35,Nairobi,6.35,94.95,62.59,500000000.0,20.030118656386467
https://www.property24.co.ke/vacant-land-plot-for-sale-in-kajiado-117039344,117039344,Vacant Land / Plot for Sale in Kajiado,"Kajiado Kajiado County, Kajiado, Kajiado",,18-Mar-26,1500000.0,clean,14.22097566607244,100.0,nlp_description,4.605170185988092,-1.3638527,36.6573976,street_address,0.8,Kajiado,19.95,55.75,Nairobi,19.95,88.26,54.03,15000.0,9.615805480084347
https://www.property24.co.ke/vacant-land-plot-for-sale-in-runda-117026984,117026984,Vacant Land / Plot for Sale in Runda,"Runda, runda Westlands, Runda, Nairobi",,14-Mar-26,140000000.0,clean,18.75715298057358,1.0,nlp_description,0.0,-1.2115559,36.8110016,street_address,0.8,Nairobi,9.04,9.04,Nairobi,9.04,64.04,60.55,140000000.0,18.75715298057358
https://www.property24.co.ke/vacant-land-plot-for-sale-in-karen-117026959,117026959,Vacant Land / Plot for Sale in Karen,"Karen Karen, Karen, Nairobi",,14-Mar-26,40000000.0,clean,17.50439001207821,,missing,,-1.3364304,36.704026,street_address,0.8,Nairobi,14.0,14.0,Nairobi,14.0,75.79,37.09,,
https://www.property24.co.ke/vacant-land-plot-for-sale-in-peponi-116886894,116886894,Vacant Land / Plot for Sale in Peponi,"Peponi Rd Nairobi, Peponi, Nairobi",,5-Feb-26,250000000.0,clean,19.33697147582652,0.5,nlp_description,-0.6931471805599453,-1.2836962,36.747846,street_address,0.8,Nairobi,8.29,8.29,Nairobi,8.29,86.55,54.91,500000000.0,20.030118656386467
https://www.property24.co.ke/vacant-land-plot-for-sale-in-ngong-116846192,116846192,Vacant Land / Plot for Sale in Ngong,"Ngong Kajiado County, Ngong, Ngong",,26-Jan-26,8800000.0,clean,15.990262279448435,4.0,nlp_description,1.3862943611198906,-1.3638527,36.6573976,street_address,0.8,Kajiado,19.95,55.75,Nairobi,19.95,89.35,43.64,2200000.0,14.603967918328545
